Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
Shingeki no Kyojin,TV,25 eps,24 min ,2013,Shounen,"Action,Award Winning,Drama,Suspense",Gore,Wit Studio,Manga,3.6M,8.53
Fullmetal Alchemist: Brotherhood,TV,64 eps,24 min ,2009,Shounen,"Action,Adventure,Drama,Fantasy",Military,Bones,Manga,3.1M,9.11
One Punch Man,TV,12 eps,24 min ,2015,Seinen,"Action,Comedy",Adult Cast,Madhouse,Web manga,3.0M,8.5
Sword Art Online,TV,25 eps,23 min ,2012,,"Action,Adventure,Fantasy,Romance",Love Polygon,A-1 Pictures,Light novel,2.9M,7.2
Boku no Hero Academia,TV,13 eps,24 min ,2016,Shounen,Action,School,Bones,Manga,2.8M,7.91
Kimetsu no Yaiba,TV,26 eps,23 min ,2019,Shounen,"Action,Award Winning,Fantasy",Historical,ufotable,Manga,2.7M,8.52
Naruto,TV,220 eps,23 min ,2002,Shounen,"Action,Adventure,Fantasy",Martial Arts,Pierrot,Manga,2.6M,7.98
Tokyo Ghoul,TV,12 eps,24 min ,2014,Seinen,"Action,Fantasy,Horror",Gore,Pierrot,Manga,2.6M,7.79
Hunter x Hunter (2011),TV,148 eps,23 min ,2011,Shounen,"Action,Adventure,Fantasy",,Madhouse,Manga,2.6M,9.04
Shingeki no Kyojin Season 2,TV,12 eps,24 min ,2017,Shounen,"Action,Drama,Suspense",Gore,Wit Studio,Manga,2.5M,8.5
Boku no Hero Academia 2nd Season,TV,25 eps,23 min ,2017,Shounen,Action,School,Bones,Manga,2.3M,8.13
Naruto: Shippuuden,TV,500 eps,23 min ,2007,Shounen,"Action,Adventure,Fantasy",Martial Arts,Pierrot,Manga,2.3M,8.25
Jujutsu Kaisen,TV,24 eps,23 min ,2020,Shounen,"Action,Award Winning,Fantasy",School,MAPPA,Manga,2.1M,8.66
Shingeki no Kyojin Season 3,TV,12 eps,23 min ,2018,Shounen,"Action,Drama",Gore,Wit Studio,Manga,2.1M,8.62
Code Geass: Hangyaku no Lelouch,TV,25 eps,24 min ,2006,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,2.1M,8.7
One Piece,TV,? eps,24 min ,1999,Shounen,"Action,Adventure,Fantasy",,Toei Animation,Manga,2.1M,8.68
Noragami,TV,12 eps,24 min ,2014,Shounen,"Action,Fantasy",Mythology,Bones,Manga,2.0M,7.96
Boku no Hero Academia 3rd Season,TV,25 eps,23 min ,2018,Shounen,Action,School,Bones,Manga,2.0M,8.06
